timestamp,latitude,longitude,speed(m/s)
1577219756,-27.68331273,-51.12969089,3.3268561
1577219757,-27.68330612,-51.12965745,3.3617399
1577219758,-27.68329819,-51.1296213,3.6662366
1577219759,-27.68328788,-51.12958161,4.0648394
1577219760,-27.68327427,-51.1295362,4.685435
1577219761,-27.68325998,-51.12948313,6.0240026
1577219762,-27.68323797,-51.12942213,6.469335
1577219763,-27.68321415,-51.12935481,6.895094
1577219764,-27.68318942,-51.12928588,7.106318
1577219765,-27.68316274,-51.12921516,7.35033
1577219766,-27.68313483,-51.12914201,7.7943764
1577219767,-27.68310403,-51.12906531,8.277835
1577219768,-27.68307244,-51.12898347,8.695434
1577219769,-27.68304126,-51.12889989,8.64043
1577219770,-27.68300787,-51.12882506,8.290795
1577219771,-27.6829722,-51.12874904,8.332176
1577219772,-27.68293543,-51.12867144,8.540001
1577219773,-27.68289744,-51.12859236,8.799748
1577219774,-27.68285731,-51.12851278,8.986185
1577219775,-27.68281324,-51.12843933,8.938711
1577219776,-27.68276294,-51.12836745,8.94657
1577219777,-27.68270815,-51.12829935,9.075912
1577219778,-27.68264819,-51.12823328,9.267166
1577219779,-27.68258361,-51.1281706,9.446098
1577219780,-27.68251594,-51.12811028,9.493194
1577219781,-27.68245258,-51.12804881,9.280373
1577219782,-27.68239591,-51.12798589,8.979399
1577219783,-27.68234423,-51.12791878,8.779332
1577219784,-27.6822962,-51.12785071,8.594884
1577219785,-27.68225076,-51.12778336,8.399112
1577219786,-27.68220643,-51.12771474,8.386001
1577219787,-27.68216641,-51.12764139,8.473581
1577219788,-27.68212974,-51.12756438,8.636566
1577219789,-27.68209291,-51.12748602,8.71483
1577219790,-27.68205523,-51.12740796,8.722338
1577219791,-27.68201341,-51.12733175,8.808333
1577219792,-27.68197006,-51.127258,8.706644
1577219793,-27.68193108,-51.12718727,8.267843
1577219794,-27.68189586,-51.12712027,7.6625667
1577219795,-27.68186642,-51.12705825,6.8859076
1577219796,-27.68184139,-51.12700262,6.110391
1577219797,-27.68182623,-51.12695554,4.91283
1577219798,-27.68182014,-51.12691594,3.995817
1577219799,-27.68182158,-51.12687843,3.6706128
1577219800,-27.68183108,-51.12684513,3.4522963
1577219801,-27.68184888,-51.12681588,3.4981964
1577219802,-27.68187391,-51.12679248,3.6290426
1577219803,-27.68190271,-51.12676861,4.069834
1577219804,-27.68193599,-51.126748,4.069632
1577219805,-27.68196648,-51.12672881,4.1838036
1577219806,-27.68199699,-51.12670758,4.2032833
1577219807,-27.68203027,-51.12668555,4.4366975
1577219808,-27.6820638,-51.12666222,4.596402
1577219809,-27.68209943,-51.12663532,4.857461
1577219810,-27.68213698,-51.12660811,4.9842753
1577219811,-27.68217546,-51.12658205,5.079866
1577219812,-27.68221762,-51.12655528,5.296016
1577219813,-27.68225942,-51.12653041,5.2610435
1577219814,-27.68230322,-51.12650669,5.2887287
1577219815,-27.68234702,-51.12648321,5.31698
1577219816,-27.68239069,-51.12646143,5.3285537
1577219817,-27.68243502,-51.12643863,5.4025693
1577219818,-27.68248082,-51.12641532,5.5801783
1577219819,-27.68252829,-51.12639047,5.9282846
1577219820,-27.68257758,-51.1263636,6.069393
1577219821,-27.68262623,-51.12633689,6.0593147
1577219822,-27.68267599,-51.12630905,6.176692
1577219823,-27.68272673,-51.12627997,6.32748
1577219824,-27.68277726,-51.12625003,6.342416
1577219825,-27.68282677,-51.12622015,6.2373376
1577219826,-27.68287574,-51.12619028,6.172704
1577219827,-27.68292518,-51.12615999,6.278044
1577219828,-27.68297698,-51.12612905,6.504038
1577219829,-27.68302826,-51.12609694,6.4897413
1577219830,-27.68307782,-51.12606223,6.498024
1577219831,-27.68312679,-51.12602378,6.6500354
1577219832,-27.68317379,-51.12598335,6.533965
1577219833,-27.68321846,-51.12594233,6.3771615
1577219834,-27.68326221,-51.12590079,6.2852807
1577219835,-27.68330532,-51.12585836,6.3482413
1577219836,-27.68334848,-51.12581403,6.4705825
1577219837,-27.68339187,-51.12576868,6.586196
1577219838,-27.68343449,-51.12572202,6.586765
1577219839,-27.68347683,-51.12567667,6.5052047
1577219840,-27.68352074,-51.12563423,6.3965454
1577219841,-27.68356578,-51.12559725,6.2427993
1577219842,-27.68361029,-51.12556542,5.8644304
1577219843,-27.68365504,-51.12554082,5.5244474
1577219844,-27.68369685,-51.12551858,5.1321254
1577219845,-27.68373746,-51.12549615,4.6374784
1577219846,-27.68377114,-51.12547152,4.5168605
1577219847,-27.68380574,-51.12544479,4.7552814
1577219848,-27.68384236,-51.12541411,4.8922706
1577219849,-27.68388,-51.12538356,5.084659
1577219850,-27.68391826,-51.12535241,5.234238
1577219851,-27.68395657,-51.1253226,5.1701536
1577219852,-27.6839974,-51.12529827,5.12673
1577219853,-27.68403831,-51.12527743,5.021063
1577219854,-27.684073,-51.12526108,4.190505
1577219855,-27.68410514,-51.12524325,3.8546364
1577219856,-27.68413788,-51.12522243,4.128439
1577219857,-27.68417197,-51.12520058,4.344457
1577219858,-27.68420565,-51.12517684,4.43329
1577219859,-27.68423605,-51.1251539,4.4615626
1577219860,-27.68427321,-51.12512572,4.5639415
1577219861,-27.68430952,-51.12509731,4.7244897
1577219862,-27.68434656,-51.12507207,4.711493
1577219863,-27.68437912,-51.12504974,4.356332
1577219864,-27.68441118,-51.12502559,4.331168
1577219865,-27.6844458,-51.12499835,4.5864677
1577219866,-27.6844815,-51.12496743,5.005287
1577219867,-27.68451737,-51.12493374,5.271808
1577219868,-27.68455181,-51.12489726,5.2810845
1577219869,-27.68458869,-51.12485864,5.46712
1577219870,-27.68462456,-51.1248182,5.6087847
1577219871,-27.68466174,-51.1247776,5.731317
1577219872,-27.6846997,-51.12473438,6.0887914
1577219873,-27.68474145,-51.12468806,6.4496922
1577219874,-27.68478339,-51.12464088,6.5931606
1577219875,-27.68482498,-51.1245955,6.485387
1577219876,-27.68486526,-51.12455075,6.345905
1577219877,-27.68489944,-51.12451221,5.3569913
1577219878,-27.68492693,-51.12448093,4.37506
1577219879,-27.68495007,-51.12445582,3.5081632
